Vocab,WordCount
425310, 872829
425340, 872902
425533, 873311
425711, 873710
425806, 873921
425864, 874024
425904, 874103
426025, 874388
426200, 874799
427471, 877578
427513, 877675
427579, 877800
427673, 877985
428026, 878740
428480, 879677
428546, 879784
428611, 879907
428698, 880116
428738, 880195
428869, 880480
428930, 880593
429168, 881092
429202, 881177
429223, 881222
429307, 881397
429373, 881554
429470, 881771
429750, 882434
430065, 883049
430410, 883834
430434, 883875
430913, 885042
431007, 885235
431166, 885562
431283, 886001
431283, 886086
431485, 886493
431504, 886540
431698, 886941
431793, 887116
432096, 887819
432504, 888662
432536, 888733
432574, 888806
432603, 888867
432800, 889330
432933, 889625
433210, 890260
433228, 890307
433262, 890384
433464, 890843
433556, 891040
433606, 891151
433625, 891188
433713, 891375
434048, 892122
434144, 892371
434370, 892868
434485, 893147
434531, 893246
434826, 893821
434919, 894096
438110, 901365
438153, 901458
438290, 901767
438340, 901864
438367, 901933
